4 way domicile,Domicile,Level of study,Mode of study,Academic Year,Region of HE provider,Number
All,Bulgaria,Other undergraduate,Full-time,2021/22,Wales,5.0
All,Bulgaria,Other undergraduate,Full-time,2021/22,Scotland,0.0
All,Bulgaria,Other undergraduate,Full-time,2021/22,Northern Ireland,0.0
All,Bulgaria,Other undergraduate,Part-time,2021/22,North East,0.0
All,Bulgaria,Other undergraduate,Part-time,2021/22,North West,0.0
All,Bulgaria,Other undergraduate,Part-time,2021/22,Yorkshire and The Humber,0.0
All,Bulgaria,Other undergraduate,Part-time,2021/22,East Midlands,0.0
All,Bulgaria,Other undergraduate,Part-time,2021/22,West Midlands,0.0
All,Bulgaria,Other undergraduate,Part-time,2021/22,East of England,5.0
All,Bulgaria,Other undergraduate,Part-time,2021/22,London,5.0
All,Bulgaria,Other undergraduate,Part-time,2021/22,South East,0.0
All,Bulgaria,Other undergraduate,Part-time,2021/22,South West,0.0
All,Bulgaria,Other undergraduate,Part-time,2021/22,The Open University in England,0.0
All,Bulgaria,Other undergraduate,Part-time,2021/22,Wales,0.0
All,Bulgaria,Other undergraduate,Part-time,2021/22,Scotland,5.0
All,Bulgaria,Other undergraduate,Part-time,2021/22,Northern Ireland,0.0
All,Greece,Postgraduate (research),Full-time,2021/22,North East,20.0
All,Greece,Postgraduate (research),Full-time,2021/22,North West,75.0
All,Greece,Postgraduate (research),Full-time,2021/22,Yorkshire and The Humber,45.0
All,Greece,Postgraduate (research),Full-time,2021/22,East Midlands,45.0
All,Greece,Postgraduate (research),Full-time,2021/22,West Midlands,60.0
All,Greece,Postgraduate (research),Full-time,2021/22,East of England,80.0
All,Greece,Postgraduate (research),Full-time,2021/22,London,210.0
All,Greece,Postgraduate (research),Full-time,2021/22,South East,115.0
All,Greece,Postgraduate (research),Full-time,2021/22,South West,30.0
All,Greece,Postgraduate (research),Full-time,2021/22,The Open University in England,0.0
All,Greece,Postgraduate (research),Full-time,2021/22,Wales,15.0
All,Greece,Postgraduate (research),Full-time,2021/22,Scotland,135.0
All,Greece,Postgraduate (research),Full-time,2021/22,Northern Ireland,10.0
All,Greece,Postgraduate (research),Part-time,2021/22,North East,10.0
All,Greece,Postgraduate (research),Part-time,2021/22,North West,10.0
All,Greece,Postgraduate (research),Part-time,2021/22,Yorkshire and The Humber,5.0
All,Greece,Postgraduate (research),Part-time,2021/22,East Midlands,5.0
All,Greece,Postgraduate (research),Part-time,2021/22,West Midlands,15.0
All,Greece,Postgraduate (research),Part-time,2021/22,East of England,15.0
All,Greece,Postgraduate (research),Part-time,2021/22,London,45.0
All,Greece,Postgraduate (research),Part-time,2021/22,South East,15.0
All,Greece,Postgraduate (research),Part-time,2021/22,South West,10.0
All,Greece,Postgraduate (research),Part-time,2021/22,The Open University in England,0.0
All,Greece,Postgraduate (research),Part-time,2021/22,Wales,5.0
All,Greece,Postgraduate (research),Part-time,2021/22,Scotland,20.0
All,Greece,Postgraduate (research),Part-time,2021/22,Northern Ireland,0.0
All,Greece,Postgraduate (taught),Full-time,2021/22,North East,80.0
All,Greece,Postgraduate (taught),Full-time,2021/22,North West,50.0
All,Greece,Postgraduate (taught),Full-time,2021/22,Yorkshire and The Humber,40.0
All,Greece,Postgraduate (taught),Full-time,2021/22,East Midlands,25.0
All,Greece,Postgraduate (taught),Full-time,2021/22,West Midlands,45.0
All,Greece,Postgraduate (taught),Full-time,2021/22,East of England,50.0
All,Greece,Postgraduate (taught),Full-time,2021/22,London,565.0
All,Greece,Postgraduate (taught),Full-time,2021/22,South East,100.0
All,Greece,Postgraduate (taught),Full-time,2021/22,South West,50.0
All,Greece,Postgraduate (taught),Full-time,2021/22,The Open University in England,0.0
All,Greece,Postgraduate (taught),Full-time,2021/22,Wales,50.0
All,Greece,Postgraduate (taught),Full-time,2021/22,Scotland,180.0
All,Greece,Postgraduate (taught),Full-time,2021/22,Northern Ireland,0.0
